high,low,volume,close,open,time
350.3,339.83,70840628.0,343.77,349.15,1689912000
346.92,342.31,26724157.0,345.11,345.85,1690171200
351.89,345.07,42575359.0,350.98,347.11,1690257600
344.67,333.11,58395898.0,337.77,341.44,1690344000
341.33,329.05,39640054.0,330.72,340.48,1690430400
340.01,333.17,28484870.0,338.37,333.67,1690516800
337.695,333.36,25450981.0,335.92,336.92,1690776000
338.54,333.7,18400582.0,336.34,335.19,1690862400
333.63,326.3551,27774270.0,327.5,333.63,1690948800
329.88,325.95,18382066.0,326.66,326.0,1691035200
335.14,327.24,23741486.0,327.78,331.88,1691121600
331.11,327.52,17745211.0,330.11,328.37,1691380800
328.75,323.0,22354207.0,326.05,326.96,1691467200
327.11,321.0499,22391253.0,322.23,326.47,1691553600
328.26,321.18,20117873.0,322.93,326.015,1691640000
322.41,319.21,24355493.0,321.01,320.26,1691726400
324.06,320.08,18840722.0,324.04,321.39,1691985600
325.09,320.9034,16969729.0,321.86,323.0,1692072000
324.42,319.8035,20706814.0,320.4,320.8,1692158400
321.87,316.21,21262655.0,316.88,320.54,1692244800
318.38,311.5508,24755014.0,316.48,314.49,1692331200
322.77,317.04,24048533.0,321.88,317.93,1692590400
326.075,321.46,16104320.0,322.46,325.5,1692676800
329.2,323.46,21179863.0,327.0,323.82,1692763200
332.98,319.96,23285880.0,319.97,332.85,1692849600
325.36,318.8001,21792081.0,322.98,321.47,1692936000
326.15,321.722,14809598.0,323.7,325.66,1693195200
328.9835,321.88,19289890.0,328.41,321.88,1693281600
329.81,326.445,15223971.0,328.79,328.67,1693368000
330.9099,326.78,26413736.0,327.76,329.2,1693454400
331.99,326.78,14942025.0,328.66,331.31,1693540800
334.85,328.66,18556234.0,333.55,329.0,1693886400
334.46,330.18,17537335.0,332.88,333.38,1693972800
333.08,329.03,18382963.0,329.91,331.29,1694059200
336.16,329.46,19548167.0,334.27,330.09,1694145600
338.42,335.43,16586124.0,337.94,337.24,1694404800
336.79,331.48,17928243.0,331.77,335.815,1694491200
336.85,331.17,16546047.0,336.06,331.31,1694577600
340.86,336.57,20271452.0,338.7,339.148,1694664000
337.3975,329.65,37679793.0,330.22,336.92,1694750400
330.4,326.36,16835277.0,329.06,327.8,1695009600
329.39,324.51,16515949.0,328.65,326.17,1695096000
329.59,320.51,21444218.0,320.77,329.51,1695182400
325.3499,315.0,35563727.0,319.53,319.26,1695268800
321.45,316.15,21447887.0,317.01,321.32,1695355200
317.67,315.0,17838514.0,317.54,316.59,1695614400
315.88,310.02,26303883.0,312.14,315.13,1695700800
